"bedrooms" "bathrooms" "floors" "waterfront" "view" "condition" "grade" "zipcode" "lat" "long" "sqm_living" "sqm_lot" "sqm_above" "sqm_basement" "sqm_living15" "sqm_lot15" "yr_old" "renovate_index" "has_ren" "has_bas" "geo_dist" "price"
"1" 3 1 1 0 0 3 7 98178 47.5112 -122.257 110 525 110 0 124 525 60 60 0 0 14.1629831154966 221900
"2" 3 2.25 2 0 0 3 7 98125 47.721 -122.319 239 673 202 37 157 710 64 24 1 1 10.642663615101 538000
"3" 2 1 1 0 0 3 6 98028 47.7379 -122.233 72 929 72 0 253 749 82 82 0 0 14.7116303485937 180000
"4" 4 3 1 0 0 5 7 98136 47.5208 -122.393 182 465 98 85 126 465 50 50 0 1 12.4156290905291 604000
"5" 3 2 1 0 0 3 8 98074 47.6168 -122.045 156 751 156 0 167 697 28 28 0 0 22.0032306767881 510000
"6" 4 4.5 1 0 0 3 11 98053 47.6561 -122.005 504 9470 361 142 442 9470 14 14 0 1 25.1879162061444 1225000
"7" 3 2.25 2 0 0 3 7 98003 47.3097 -122.327 159 634 159 0 208 634 20 20 0 0 35.2000175678038 257500
"8" 3 1.5 1 0 0 3 7 98198 47.4095 -122.315 98 902 98 0 153 902 52 52 0 0 24.1557880374673 291850
"9" 3 1 1 0 0 3 7 98146 47.5123 -122.337 165 694 98 68 165 754 55 55 0 1 12.6621135760789 229500
"10" 3 2.5 2 0 0 3 7 98038 47.3684 -122.031 176 609 176 0 222 703 12 12 0 0 36.8014656270999 323000
"11" 3 2.5 1 0 0 3 8 98007 47.6007 -122.145 331 910 173 158 205 829 50 50 0 1 14.7602245684218 662500
"12" 2 1 1 0 0 4 7 98115 47.69 -122.292 108 557 80 28 124 557 73 73 0 1 7.89774119589569 468000
"13" 3 1 1.5 0 0 4 7 98028 47.7558 -122.229 133 1849 133 0 165 1180 88 88 0 0 16.5721325605194 310000
"14" 3 1.75 1 0 0 4 7 98074 47.6127 -122.045 127 899 127 0 127 948 38 38 0 0 22.0303854413863 4e+05
"15" 5 2 1.5 0 0 3 7 98107 47.67 -122.394 168 451 168 0 126 451 115 115 0 0 6.41822706151178 530000
"16" 4 3 2 0 3 3 9 98126 47.5714 -122.375 274 465 184 90 199 372 36 36 0 1 6.68452624069067 650000
"17" 3 2 2 0 0 3 7 98019 47.7277 -121.962 176 1304 176 0 176 1302 21 21 0 0 30.3474012426123 395000
"18" 4 1 1.5 0 0 4 7 98103 47.6648 -122.343 149 399 149 0 150 399 99 99 0 0 4.31017391900795 485000
"19" 2 1 1 0 0 4 7 98002 47.3089 -122.21 111 915 111 0 98 473 94 94 0 0 36.5722646010617 189000
"20" 3 1 1 0 0 4 7 98003 47.3343 -122.306 116 908 116 0 119 822 46 46 0 0 32.5448302722789 230000
"21" 4 1.75 1 0 0 4 7 98133 47.7025 -122.341 151 463 80 71 130 463 68 68 0 1 8.49000680023734 385000
"22" 3 2.75 1 0 4 3 9 98040 47.5316 -122.233 283 4168 216 67 382 1889 47 47 0 1 13.1493968437875 2e+06
"23" 5 2.5 2 0 0 3 8 98092 47.3266 -122.169 211 585 211 0 208 651 20 20 0 0 35.6567081394405 285000
"24" 2 1.5 1 0 0 3 7 98030 47.3533 -122.166 99 896 99 0 113 779 30 30 0 0 32.9867359706221 252700
"25" 3 2.25 2 0 0 4 8 98030 47.3739 -122.172 228 604 228 0 204 638 30 30 0 0 30.705733117199 329000
"26" 3 2 1.5 0 0 5 6 98002 47.3048 -122.218 159 436 159 0 96 437 74 74 0 0 36.8602656893482 233000
"27" 3 1.75 2 0 0 3 8 98119 47.6386 -122.36 228 250 163 65 164 332 100 100 0 1 2.13694673590829 937000
"28" 3 1 1.5 0 0 5 8 98112 47.6221 -122.314 130 147 130 0 173 359 106 106 0 0 1.87290237344946 667000
"29" 3 1.75 1 0 0 3 7 98115 47.695 -122.304 141 593 73 68 141 579 67 67 0 1 8.07194434160129 438000
"30" 4 2.5 2 0 0 3 8 98052 47.7073 -122.11 239 666 239 0 244 560 10 10 0 0 19.3267393587025 719000
"31" 3 2.5 2 0 0 3 8 98027 47.5391 -122.07 216 370 216 0 240 370 12 12 0 0 22.3280414483585 580500
"32" 2 1.5 3 0 0 3 7 98133 47.7274 -122.357 111 118 111 0 129 163 10 10 0 0 11.3434594681949 280000
"33" 4 1.75 1.5 0 0 4 7 98117 47.6823 -122.368 216 465 140 76 136 465 86 86 0 1 6.6272232125795 687500
"34" 3 1 1.5 0 0 4 8 98117 47.6889 -122.375 101 279 101 0 146 472 86 86 0 0 7.49867857561329 535000
"35" 4 2.75 1 0 0 3 7 98058 47.4276 -122.157 191 619 119 72 188 810 34 34 0 1 25.9369868464368 322500
"36" 3 2.5 1.5 0 0 3 8 98115 47.6827 -122.31 214 284 140 73 148 303 85 13 1 1 6.63243180275869 696000
"37" 4 1 1 0 0 1 5 98052 47.6621 -122.132 154 3237 86 68 201 1065 82 82 0 1 15.9595280404138 550000
"38" 4 2 2 0 0 4 8 98107 47.6702 -122.362 219 557 219 0 161 437 111 111 0 0 5.20914526392256 640000
"39" 4 1 1 0 0 2 7 98001 47.3341 -122.282 113 750 83 31 120 725 46 46 0 1 32.7506552642671 240000
"40" 4 2.5 2 0 0 3 8 98056 47.5301 -122.18 243 702 243 0 243 1104 19 19 0 0 15.9693952198211 605000
"41" 4 2.5 2 0 0 3 9 98074 47.6145 -122.027 239 513 239 0 229 527 15 15 0 0 23.3641905283913 625000
"42" 4 2.25 1 0 0 3 8 98166 47.445 -122.347 392 2247 242 151 224 2844 31 31 0 1 20.155891306724 775000
"43" 5 2.75 2 0 0 3 9 98053 47.6848 -122.016 334 524 334 0 337 524 1 1 0 0 25.0012854997501 861990
"44" 3 1 2 0 0 3 7 98119 47.6413 -122.364 146 212 146 0 147 245 93 93 0 0 2.55992802610489 685000
"45" 3 1 1 0 0 4 6 98058 47.4485 -122.175 119 897 85 33 124 818 56 56 0 1 23.2483004637137 309000
"46" 3 2.5 2 0 0 3 8 98019 47.7443 -121.977 294 1264 294 0 283 858 12 12 0 0 30.0633976284348 488000
"47" 3 1 1 0 0 3 6 98023 47.3066 -122.371 92 792 92 0 114 821 49 49 0 0 35.6197370424474 210490
"48" 4 2.5 2 0 0 4 9 98007 47.6194 -122.151 213 1246 213 0 249 1271 34 34 0 0 14.0538754963675 785000
"49" 3 1.75 1 0 0 4 7 98115 47.6796 -122.301 116 554 116 0 90 474 62 62 0 0 6.56369569065409 450000
"50" 3 2.5 1 1 2 5 9 98070 47.4041 -122.451 256 6039 201 55 249 6737 62 62 0 1 26.1045336836681 1350000
"51" 3 1 1 0 0 3 7 98148 47.4258 -122.322 111 855 111 0 111 870 60 60 0 0 22.3135114492227 228000
"52" 5 2.5 1 0 0 4 8 98056 47.4934 -122.189 293 849 152 140 185 848 49 49 0 1 18.5304788435972 345000
"53" 3 1.75 1 0 0 4 7 98117 47.6808 -122.384 131 379 93 38 131 379 65 65 0 1 6.9744772478477 6e+05
"54" 2 1.75 1 0 0 3 7 98117 47.6989 -122.369 184 794 92 92 137 626 34 34 0 1 8.40868711738435 585000
